TIEMPOS,,,,,,,,,
Video,5,10,20,30,40,50,60,70,80
morocho,154334,159482,172494,175018,175225,175063,175839,177250,175874
tenis,114705,120136,131049,131995,132254,132722,133030,131266,135993
bebes,378779,424485,456485,471652,465742,1028945,3662960,5777993,7836615
fideos,251593,280720,309360,330435,556037,3484505,6231765,7924656,10831145
perro,73938,80152,91166,89467,91208,92045,92014,91602,92388
cupcake,55719,56180,61711,62946,63667,64164,64374,64770,65684
,,,,,,,,,
MEMORIA,,,,,,,,,
Video,5,10,20,30,40,50,60,70,80
morocho,31360,56932,107952,159092,210164,261180,312224,363316,414416
tenis,25144,45328,85692,125964,166104,206352,246592,286852,326996
bebes,155440,291580,564284,837072,1109592,1243672,1255116,1245216,1249060
fideos,204864,385280,746132,1104848,1274552,1253040,1278388,1263702,1280346
perro,31300,56832,107968,158836,210184,261116,312300,363388,414380
cupcake,21868,38936,72868,106964,141032,174920,209104,243216,277396
